#The solar chemical composition K.Lodders 2009:
C	10.4816
H   12.00          
He  10.9864
N	9.9130
O	10.7826
P	6.8068
S	9.1200
Si	8.8877
Ti	6.2804
V	5.3447
Cl	6.6012
K	6.4629
Na	7.6489
Mg	8.9005
F	5.7930
Ca	7.6687
Fe	8.8161
e-  0
