#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	P    	S    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    	Ca   	Fe   	e-   
95        	5         	ok              	6.2900000000e-06	3.0000000000e+02	3.3247030460e+14	1.5186079450e+14	4.9582133883e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
96        	5         	ok              	4.9120000000e-06	3.0000000000e+02	2.5963280953e+14	1.1859145033e+14	4.9582019598e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
97        	5         	ok              	3.8360000000e-06	3.0000000000e+02	2.0275846735e+14	9.2613355754e+13	4.9581926714e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
98        	5         	ok              	2.9960000000e-06	3.0000000000e+02	1.5835856407e+14	7.2333058873e+13	4.9581851917e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
99        	5         	ok              	2.3400000000e-06	3.0000000000e+02	1.2368444350e+14	5.6495112738e+13	4.9581792078e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
100       	5         	ok              	1.8270000000e-06	3.0000000000e+02	9.6568914945e+13	4.4109645715e+13	4.9581744399e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
101       	5         	ok              	1.4270000000e-06	3.0000000000e+02	7.5426237975e+13	3.4452361486e+13	4.9581706675e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
102       	5         	ok              	1.1140000000e-06	3.0000000000e+02	5.8882115282e+13	2.6895536577e+13	4.9581676818e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
103       	5         	ok              	8.7020000000e-07	3.0000000000e+02	4.5995684444e+13	2.1009421840e+13	4.9581653355e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
104       	5         	ok              	6.7950000000e-07	3.0000000000e+02	3.5915945679e+13	1.6405311584e+13	4.9581634873e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
105       	5         	ok              	5.3070000000e-07	3.0000000000e+02	2.8050900364e+13	1.2812801850e+13	4.9581620372e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
106       	5         	ok              	4.1440000000e-07	3.0000000000e+02	2.1903694067e+13	1.0004946461e+13	4.9581608986e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
107       	5         	ok              	3.2360000000e-07	3.0000000000e+02	1.7104329450e+13	7.8127429411e+12	4.9581600060e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
108       	5         	ok              	2.5270000000e-07	3.0000000000e+02	1.3356809153e+13	6.1009893115e+12	4.9581593062e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
109       	5         	ok              	1.9740000000e-07	3.0000000000e+02	1.0433849762e+13	4.7658697669e+12	4.9581587573e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
110       	5         	ok              	1.5410000000e-07	3.0000000000e+02	8.1451677192e+12	3.7204687491e+12	4.9581583238e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
111       	5         	ok              	1.2040000000e-07	3.0000000000e+02	6.3639073691e+12	2.9068425529e+12	4.9581579808e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
112       	5         	ok              	9.4010000000e-08	3.0000000000e+02	4.9690273947e+12	2.2697032259e+12	4.9581577037e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
113       	5         	ok              	7.3410000000e-08	3.0000000000e+02	3.8801859814e+12	1.7723530881e+12	4.9581574736e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
114       	5         	ok              	5.7330000000e-08	3.0000000000e+02	3.0302554590e+12	1.3841302621e+12	4.9581572713e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
115       	5         	ok              	4.4770000000e-08	3.0000000000e+02	2.3663794099e+12	1.0808915373e+12	4.9581570765e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
116       	5         	ok              	3.4960000000e-08	3.0000000000e+02	1.8478584012e+12	8.4404664159e+11	4.9581568639e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
117       	5         	ok              	2.7300000000e-08	3.0000000000e+02	1.4429785943e+12	6.5910964861e+11	4.9581565988e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
118       	5         	ok              	2.1320000000e-08	3.0000000000e+02	1.1268974849e+12	5.1473324939e+11	4.9581562295e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
119       	5         	ok              	1.6650000000e-08	3.0000000000e+02	8.8005820943e+11	4.0198445602e+11	4.9581556750e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
120       	5         	ok              	1.3000000000e-08	3.0000000000e+02	6.8713241526e+11	3.1386173743e+11	4.9581548045e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
121       	5         	ok              	1.0160000000e-08	3.0000000000e+02	5.3702026015e+11	2.4529501941e+11	4.9581534147e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
122       	5         	ok              	7.9310000000e-09	3.0000000000e+02	4.1920332063e+11	1.9147980305e+11	4.9581511497e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
123       	5         	ok              	6.1940000000e-09	3.0000000000e+02	3.2739168280e+11	1.4954304628e+11	4.9581474612e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
124       	5         	ok              	4.8370000000e-09	3.0000000000e+02	2.5566542496e+11	1.1678070954e+11	4.9581414264e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
125       	5         	ok              	3.7770000000e-09	3.0000000000e+02	1.9963745803e+11	9.1188906330e+10	4.9581315399e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
126       	5         	ok              	2.9500000000e-09	3.0000000000e+02	1.5592496138e+11	7.1222471187e+10	4.9581153588e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
127       	5         	ok              	2.3040000000e-09	3.0000000000e+02	1.2177938646e+11	5.5625957158e+10	4.9580888480e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
128       	5         	ok              	1.7990000000e-09	3.0000000000e+02	9.5086456122e+10	4.3433635819e+10	4.9580453669e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
129       	5         	ok              	1.4050000000e-09	3.0000000000e+02	7.4260452304e+10	3.3921210853e+10	4.9579742193e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
130       	5         	ok              	1.0970000000e-09	3.0000000000e+02	5.7979929366e+10	2.6485101997e+10	4.9578576483e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
131       	5         	ok              	8.5680000000e-10	3.0000000000e+02	4.5282859462e+10	2.0685902818e+10	4.9576673676e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
132       	5         	ok              	6.6910000000e-10	3.0000000000e+02	3.5360484960e+10	1.6154222194e+10	4.9573568557e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
133       	5         	ok              	5.2250000000e-10	3.0000000000e+02	2.7610180120e+10	1.2614827524e+10	4.9568519363e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
134       	5         	ok              	4.0810000000e-10	3.0000000000e+02	2.1561454584e+10	9.8528442344e+09	4.9560361451e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
135       	5         	ok              	3.1870000000e-10	3.0000000000e+02	1.6833670223e+10	7.6944412093e+09	4.9547273338e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
136       	5         	ok              	2.4890000000e-10	3.0000000000e+02	1.3141353455e+10	6.0092451113e+09	4.9526565841e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
137       	5         	ok              	1.9440000000e-10	3.0000000000e+02	1.0257222147e+10	4.6934401352e+09	4.9494452932e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
138       	5         	ok              	1.5180000000e-10	3.0000000000e+02	8.0016578662e+09	3.6649393648e+09	4.9446009917e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
139       	5         	ok              	1.1850000000e-10	3.0000000000e+02	6.2374752488e+09	2.8609704528e+09	4.9375732006e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
140       	5         	ok              	9.2560000000e-11	3.0000000000e+02	4.8625473938e+09	2.2346955705e+09	4.9279189528e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
141       	6         	ok              	7.2290000000e-11	3.0000000000e+02	3.7880279723e+09	1.7453126922e+09	4.9153891887e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
142       	6         	ok              	5.6450000000e-11	3.0000000000e+02	2.9488097399e+09	1.3628842368e+09	4.9001093372e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
143       	5         	ok              	4.4090000000e-11	3.0000000000e+02	2.2949337449e+09	1.0644741541e+09	4.8826190879e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
144       	5         	ok              	3.4430000000e-11	3.0000000000e+02	1.7851673250e+09	8.3125073999e+08	4.8636769014e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
145       	5         	ok              	2.6890000000e-11	3.0000000000e+02	1.3886328729e+09	6.4921093228e+08	4.8441720940e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
146       	6         	ok              	2.1000000000e-11	3.0000000000e+02	1.0801520922e+09	5.0700742201e+08	4.8249031392e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
147       	5         	ok              	1.6400000000e-11	3.0000000000e+02	8.4033802344e+08	3.9594865338e+08	4.8065481966e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
148       	6         	ok              	1.2810000000e-11	3.0000000000e+02	6.5407364360e+08	3.0927452743e+08	4.7896136043e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
149       	6         	ok              	1.0000000000e-11	3.0000000000e+02	5.0896772330e+08	2.4143210572e+08	4.7743384185e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
