#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	P    	S    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    	Ca   	Fe   	e-   
23        	5         	ok              	3.3900000000e+02	3.0000000000e+02	1.7919445370e+22	8.1845483839e+21	4.9584719777e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
24        	5         	ok              	2.6470000000e+02	3.0000000000e+02	1.3991968110e+22	6.3907078384e+21	4.9584719777e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
25        	5         	ok              	2.0670000000e+02	3.0000000000e+02	1.0926104300e+22	4.9904016252e+21	4.9584719777e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
26        	5         	ok              	1.6150000000e+02	3.0000000000e+02	8.5368449179e+21	3.8991285074e+21	4.9584719777e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
27        	5         	ok              	1.2610000000e+02	3.0000000000e+02	6.6656107996e+21	3.0444588531e+21	4.9584719777e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
28        	5         	ok              	9.8470000000e+01	3.0000000000e+02	5.2050967124e+21	2.3773819450e+21	4.9584719777e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
29        	5         	ok              	7.6900000000e+01	3.0000000000e+02	4.0649125336e+21	1.8566128930e+21	4.9584719777e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
30        	5         	ok              	6.0050000000e+01	3.0000000000e+02	3.1742262372e+21	1.4497997948e+21	4.9584719777e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
31        	5         	ok              	4.6900000000e+01	3.0000000000e+02	2.4791209080e+21	1.1323165758e+21	4.9584719777e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
32        	5         	ok              	3.6620000000e+01	3.0000000000e+02	1.9357229776e+21	8.8412437114e+20	4.9584719777e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
33        	5         	ok              	2.8600000000e+01	3.0000000000e+02	1.5117880164e+21	6.9049582236e+20	4.9584719776e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
